dataset,word,n,tf,idf,tf_idf,log_odds_weighted,lo_abs
broad,coumadin,402,8.05398171225247e-4,0.6931471805599453,5.58259471612916e-4,8.04653814144277,8.04653814144277
broad,cmho,353,7.072277473694333e-4,0.6931471805599453,4.902129191028839e-4,7.539621260878219,7.539621260878219
broad,thalassemia,245,4.908521192790685e-4,0.6931471805599453,3.4023276255016027e-4,6.280158104630361,6.280158104630361
broad,wound,230,4.6079994871096224e-4,0.6931471805599453,3.194021852511709e-4,6.084726852041742,6.084726852041742
broad,metastatic,225,4.507825585215935e-4,0.6931471805599453,3.124586594848411e-4,6.018177227139487,6.018177227139487
broad,infant,219,4.38761690294351e-4,0.6931471805599453,3.041264285652453e-4,5.9373359761452384,5.9373359761452384
broad,lactic,218,4.3675821225647724e-4,0.6931471805599453,3.027377234119793e-4,5.9237554789267,5.9237554789267
broad,mmol,214,4.2874430010498226e-4,0.6931471805599453,2.971829027989155e-4,5.869120133931522,5.869120133931522
broad,hemoptysis,204,4.087095197262448e-4,0.6931471805599453,2.832958512662559e-4,5.73025944684819,5.73025944684819
broad,paralytics,198,3.966886514990023e-4,0.6931471805599453,2.7496362034666014e-4,5.6453081258048226,5.6453081258048226
broad,inch,191,3.82664305233886e-4,0.6931471805599453,2.6524268427379844e-4,5.544557637297029,5.544557637297029
broad,sdh,184,3.6863995896876977e-4,0.6931471805599453,2.555217482009367e-4,5.441946817930265,5.441946817930265
broad,encephalopathy,170,3.405912664385373e-4,0.6931471805599453,2.3607987605521325e-4,5.230704289509687,5.230704289509687
broad,shock,158,3.165495299840523e-4,0.6931471805599453,2.194154142160217e-4,5.042616720043748,5.042616720043748
broad,lymph,152,3.045286617568098e-4,0.6931471805599453,2.1108318329642595e-4,4.94589695863853,4.94589695863853
broad,stent,151,3.0252518371893605e-4,0.6931471805599453,2.0969447814315998e-4,4.929592870429789,4.929592870429789
broad,rib,150,3.0052170568106235e-4,0.6931471805599453,2.0830577298989406e-4,4.913234783263696,4.913234783263696
broad,suspect,148,2.9651474960531483e-4,0.6931471805599453,2.0552836268336212e-4,4.8803544383247965,4.8803544383247965
broad,tpn,147,2.945112715674411e-4,0.6931471805599453,2.0413965753009617e-4,4.863831070728707,4.863831070728707
broad,endotracheal,140,2.804869253023248e-4,0.6931471805599453,1.9441872145723442e-4,4.74656023424619,4.74656023424619
broad,fracture,139,2.784834472644511e-4,0.6931471805599453,1.930300163039685e-4,4.729570328714359,4.729570328714359
broad,flutter,133,2.664625790372086e-4,0.6931471805599453,1.8469778538437274e-4,4.626323122028351,4.626323122028351
broad,tco,133,2.664625790372086e-4,0.6931471805599453,1.8469778538437274e-4,4.626323122028351,4.626323122028351
broad,copd,126,2.5243823277209236e-4,0.6931471805599453,1.7497684931151099e-4,4.502882121298357,4.502882121298357
broad,hyponatremia,125,2.504347547342186e-4,0.6931471805599453,1.7358814415824504e-4,4.484970811179213,4.484970811179213
broad,nstemi,125,2.504347547342186e-4,0.6931471805599453,1.7358814415824504e-4,4.484970811179213,4.484970811179213
broad,fractures,124,2.4843127669634484e-4,0.6931471805599453,1.7219943900497907e-4,4.466987797198041,4.466987797198041
broad,thrombosis,124,2.4843127669634484e-4,0.6931471805599453,1.7219943900497907e-4,4.466987797198041,4.466987797198041
broad,hospice,122,2.444243206205974e-4,0.6931471805599453,1.6942202869844717e-4,4.430803161928555,4.430803161928555
broad,palliative,119,2.384138865069761e-4,0.6931471805599453,1.6525591323864926e-4,4.375966106069823,4.375966106069823
broad,lobectomy,118,2.3641040846910237e-4,0.6931471805599453,1.638672080853833e-4,4.357533971261262,4.357533971261262
broad,haldol,117,2.344069304312286e-4,0.6931471805599453,1.6247850293211734e-4,4.339023655643463,4.339023655643463
broad,mono,113,2.2639301827973363e-4,0.6931471805599453,1.5692368231905353e-4,4.264180158174897,4.264180158174897
broad,narcan,112,2.2438954024185987e-4,0.6931471805599453,1.5553497716578755e-4,4.245263421316447,4.245263421316447
broad,facility,111,2.223860622039861e-4,0.6931471805599453,1.5414627201252158e-4,4.226262135224406,4.226262135224406
broad,piperacillin,110,2.2038258416611238e-4,0.6931471805599453,1.5275756685925564e-4,4.207175154323582,4.207175154323582
broad,meropenem,109,2.1837910612823862e-4,0.6931471805599453,1.5136886170598966e-4,4.188001306940838,4.188001306940838
broad,plavix,107,2.1437215005249113e-4,0.6931471805599453,1.4859145139945774e-4,4.149388190472542,4.149388190472542
broad,ve,107,2.1437215005249113e-4,0.6931471805599453,1.4859145139945774e-4,4.149388190472542,4.149388190472542
broad,wt,106,2.1236867201461737e-4,0.6931471805599453,1.472027462461918e-4,4.129946439814022,4.129946439814022
broad,ciprofloxacin,102,2.043547598631224e-4,0.6931471805599453,1.4164792563312796e-4,4.051247807763141,4.051247807763141
broad,levaquin,101,2.0235128182524863e-4,0.6931471805599453,1.40259220479862e-4,4.031333422263115,4.031333422263115
broad,diabetes,100,2.0034780378737487e-4,0.6931471805599453,1.3887051532659602e-4,4.01132029975086,4.01132029975086
broad,dobhoff,100,2.0034780378737487e-4,0.6931471805599453,1.3887051532659602e-4,4.01132029975086,4.01132029975086
broad,egd,100,2.0034780378737487e-4,0.6931471805599453,1.3887051532659602e-4,4.01132029975086,4.01132029975086
broad,statin,98,1.9634084771162738e-4,0.6931471805599453,1.360931050200641e-4,3.9709918649127496,3.9709918649127496
broad,pacer,96,1.923338916358799e-4,0.6931471805599453,1.3331569471353218e-4,3.9302501614879137,3.9302501614879137
broad,overdose,95,1.9033041359800613e-4,0.6931471805599453,1.3192698956026623e-4,3.9097203018172766,3.9097203018172766
broad,spits,94,1.883269355601324e-4,0.6931471805599453,1.3053828440700029e-4,3.889082201387887,3.889082201387887
